ASV_ID	s20011_0001	s20011_0002	s20011_0003	s20011_0004	s20011_0005	s20011_0006	s20011_0007	s20011_0008	s20011_0009	s20011_0010	s20011_0011	s20011_0013	s20011_0014	s20011_0015	s20011_0016	s20011_0017	s20011_0018	s20011_0019	s20011_0020	s20011_0021	s20011_0022	s20011_0023	s20011_0024	s20011_0025	s20011_0026	s20011_0027	s20011_0028	s20011_0029	s20011_0030	s20011_0031	s20011_0032	s20011_0033	s20011_0034	s20011_0035	s20011_0036	s20011_0037	s20011_0038	s20011_0039	s20011_0040	s20011_0041	s20011_0042	s20011_0043	s20011_0044	s20011_0045	s20011_0046	s20011_0047	s20011_0048	s20011_0049
31c7bc067538dcf7916e8b7cbefa44e5	180	0	66	34	1	216	341	16	102	250	312	58	591	99	98	23	92	126	0	537	209	115	58	86	56	95	0	56	83	0	107	31	78	200	0	0	171	60	52	0	66	88	0	0	0	141	37	388
ad89a9d5fec4408fafb73e7225f44d08	0	116	241	93	100	245	101	74	74	31	522	18	70	66	0	295	141	124	57	167	346	0	203	228	51	125	0	0	42	0	214	105	22	109	0	41	89	155	51	83	66	114	74	84	144	84	77	0
520887a54cc76670a5f7f2e64a8a651b	0	0	615	0	0	0	0	0	9	0	28	14	33	24	0	0	3011	0	0	82	14	0	19	20	0	0	22	79	18	0	261	140	22	0	54	0	0	0	0	0	0	0	46	8	160	0	236	20
b24ef5fe8c1ad555a6db6fb7800398d1	0	0	109	50	0	0	0	0	506	0	1093	12	0	17	59	0	138	0	1386	29	12	0	0	0	0	83	0	0	0	0	0	0	0	61	0	40	612	0	0	17	20	253	0	0	3	256	37	0
7b6d335d29fb8edf989ba7d03a848d84	0	0	0	0	52	90	0	0	71	155	92	0	48	20	345	54	49	0	334	0	0	0	136	0	157	256	0	137	144	0	41	181	61	67	164	53	61	316	30	488	6	40	385	372	34	269	16	0
c287da853235f9a98089163fdca87226	0	0	302	28	143	267	230	0	138	53	0	9	109	48	110	113	0	179	17	253	276	64	180	44	86	95	0	39	0	35	271	73	36	176	0	45	55	277	12	201	50	157	47	0	321	88	77	0
e2f6a531bc64c892b56a06d2aed991f7	0	0	0	27	0	0	24	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	4374	0	0	0	0	0	0	0	0	0
e9398bc0ad9626bc4742c93fd0363bac	0	0	0	0	12	0	0	0	0	0	0	19	0	23	292	220	154	48	0	0	0	0	44	40	50	0	0	0	0	0	1537	125	17	33	0	20	246	722	0	32	0	523	0	364	0	0	101	0
d91b5c77b23b27230a16c7dc4325f4cd	29	0	0	0	68	1141	0	0	0	0	0	0	33	0	326	336	0	50	0	0	828	632	0	0	0	0	20	96	33	0	95	117	99	0	0	83	0	58	0	50	57	135	0	0	0	256	67	0
202938f6ff9392b6e167b20b956d9ed1	0	0	0	78	37	85	34	0	37	132	0	35	261	75	0	2	26	0	0	0	24	135	67	82	0	0	0	90	69	0	13	0	207	95	0	673	1013	47	0	27	14	42	0	43	0	140	52	883
1fe3e06e07b656ae8c8c51035d1165af	289	0	193	12	31	0	0	0	0	0	260	324	0	491	199	0	741	0	0	0	0	0	0	28	0	33	39	58	0	63	114	130	0	0	528	50	0	0	0	0	701	21	0	24	0	72	34	0
b8349e5459469537ac814c90cb3b99fa	0	0	0	0	0	0	0	0	0	3820	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0
26547c96837ae7efcfa67fca0cc71140	0	0	0	0	0	0	0	50	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	3598	0	32	0	0	0	0	0	0	0	0	0	149	26	0	265	0	0	0	0	0	7	0
707940842caa2afe60491008e04a8173	0	14	88	108	89	0	0	106	0	229	0	62	13	80	12	0	0	0	123	29	7	270	63	0	697	0	0	0	6	408	0	113	36	168	0	220	0	39	0	199	0	0	82	68	519	347	23	0
a39d801345fa448b725cc560f78f64bd	0	0	100	0	394	15	738	0	0	0	0	11	0	0	0	121	142	241	0	370	0	47	0	0	0	0	0	0	0	0	1633	0	0	49	0	0	0	0	0	0	0	0	0	5	0	120	169	0
096cb1590806c25cc3cef9da6f82ed9a	0	0	0	0	0	0	0	0	11	0	0	0	0	4072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7995a612a6216f9f54f123fad99d4148	0	0	0	0	1139	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	184	0	79	0	0	0	0	0	0	1965	0	0	0	0	0	0	0	385	0	7	0	2	247	0	0	0
7fb14c6c28da1357b6b2fb053bd6241d	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3805	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0
b8f980ec6ad0c86efb83bd1f64c3a252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	1196	0	0	0	0	125	438	73	0	0	0	0	0	0	0	0	0	0	0	1059	290	0	0	0	198	0	0	0	343	0	0
77087c966bd1f46d43d2c4913475bc98	725	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	40	63	0	0	0	0	0	0	0	721	0	0	0	0	388	0	0	0	0	1864	0	0	0	0	3	0	31	9	0	0
47d74904a190fe918c6eea86295320d2	0	0	0	0	65	64	0	0	450	0	0	16	0	204	0	0	0	0	0	0	41	0	0	0	181	0	0	0	1236	0	0	0	0	0	0	47	0	0	0	0	0	1115	269	0	32	166	8	0
7ce20dc0d050d5b02daef50d77765562	0	1375	0	0	0	136	0	0	0	0	0	16	1290	72	0	0	0	0	0	0	136	0	51	0	84	0	0	0	0	38	0	98	448	0	0	0	0	0	0	0	0	0	62	0	0	76	0	0
3b48fc0af1a82150fea1dab94712adfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1991	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	381	0	0	0	0	0	0	0	0
db466f8f1ed606e1dc11106f48b79a18	0	0	0	0	0	0	1989	0	0	0	0	0	0	0	0	1871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53f976e60f93b527ffa62fbe48254d53	0	0	4	0	0	0	0	0	224	0	1428	0	0	534	927	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	176	0	0	0
bf37c87f8841a9f1a2cd20db4fa18b74	0	96	65	21	559	0	0	0	180	218	0	0	14	199	0	88	0	241	0	37	0	120	388	0	78	0	0	161	0	0	49	409	114	0	0	156	0	143	0	195	42	23	51	0	67	66	51	0
df3d6113f855e22f2a6d44e60f01baa7	66	0	42	60	438	274	26	0	9	0	28	43	218	210	0	0	0	24	8	164	2	66	36	29	74	0	315	0	0	0	555	105	8	0	7	39	142	205	0	105	29	92	69	47	103	21	0	164
17c1ba298b5153f3b421e5215c8bd5bc	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3419	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0
0eebf22536faa70d10968eb4972b2736	0	0	0	107	0	0	203	212	118	1152	0	0	136	0	0	705	5	0	0	0	8	0	0	0	0	0	0	0	288	0	0	0	77	171	0	402	0	35	0	0	0	0	15	0	66	10	0	21
38b7580c13cf081c9f279006c2dc70b9	398	0	18	45	0	198	0	0	121	74	967	60	48	0	41	0	125	156	0	73	176	34	0	107	0	80	12	0	0	0	0	0	75	0	30	0	266	116	196	0	64	28	0	0	0	56	31	0
df8f768b0e149cc5c7a6f5cf15cd6fa8	0	0	0	0	3380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	186	0	0	0
52ba52e30f9d5544bdace0dc6dd18956	189	0	86	0	55	153	158	84	76	19	0	166	86	133	274	176	191	41	0	86	114	310	57	56	54	33	0	17	82	0	100	17	32	98	0	30	33	0	79	0	25	50	218	0	0	63	45	0
9e389b0d1c9e386970102802187e1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f674778ad4f6d705a269ff2985b23f5e	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2782	483	0	0	0	0	0	0
29fc1e11d7f813aa68e3c789b3fc1a20	59	0	57	32	60	52	0	605	64	0	0	232	23	28	0	209	55	0	0	46	0	133	308	0	47	427	0	0	0	0	27	63	22	90	315	0	0	12	0	7	0	0	36	11	78	123	210	0
6aecdefb54ce134bd38af02b1c7e7187	0	0	0	288	0	0	0	0	1397	0	0	0	0	314	0	0	0	0	0	85	0	0	0	221	504	0	0	0	0	0	246	0	0	0	0	87	0	0	0	0	0	46	0	0	0	205	0	0
675d47d0e00ce464efcc06550c8d986f	0	145	51	29	49	325	36	103	107	140	0	9	66	71	0	0	15	108	44	76	47	82	118	0	105	85	0	85	0	0	80	48	58	162	31	30	229	73	9	48	31	71	17	112	134	156	45	24
013294676ede34c290a25d5da1d2540d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1386	0	0	0	0	0	0	261	0	0	0	0	0	0	678	0	0	0	0	0	312	0	0	585	0	0	0	0
fef4a37f1f4d24a6c91f5caf8fbaa33d	0	11	297	46	137	63	0	0	24	234	0	110	176	81	0	0	133	79	0	0	0	496	101	28	66	8	0	7	0	36	0	0	110	106	0	0	0	94	0	0	216	66	31	53	79	135	157	0
6343c15ef6a0b28bb8d019ebbcd0a55a	0	0	0	0	0	0	0	0	0	1147	0	0	0	0	0	0	0	941	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	59	0	7	0	0	0	0	0	0	11	0	0	0	0	883
719852b30b6cf6748f52cf99407e1e35	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0	0	561	0	0	0	1240	0	0	0	0	0	0	0	0
1667bf727ec7f933a7e70d3c13396fc3	0	959	0	6	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1853	0	0	0	47	0	0	3	10	0	0	0	0	17	0	0	0	12	0	0
b74ab6944f5a7e98a99e29bcbea455c0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	506	0	0	236	87	0	0	0	0	110	0	0	748	0	0	0	0	0	0	0	0	441	0	0	0	0	0	644	0	0	0	84
15e05255b2aa8ee3524ca61eb207bb18	0	22	171	0	32	122	0	0	223	24	0	57	181	14	172	0	326	26	0	242	217	0	38	46	69	27	228	0	18	0	93	25	11	30	0	8	21	24	31	34	104	71	17	25	94	54	18	163
9e7125a102db8951720ec539b4e78113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2890	0	0	0	0	11	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3c28faece4585e778db850bfcb56248	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	16	0	0	0	0	0	0	2369	0	0	0	206	0	0	0	0	166	0	0	0
3a893286e7a8c6965a9be85b7ec43c60	69	0	66	76	49	114	181	84	33	0	0	0	0	0	0	255	30	0	54	0	0	106	127	44	233	97	0	59	0	0	77	0	0	38	0	130	343	34	0	75	0	55	28	85	365	63	0	0
9cdb9dbe98d86651359273ea1c595c84	0	0	0	43	22	87	0	0	23	341	0	0	302	120	0	0	0	0	0	102	0	0	150	0	47	0	0	8	0	0	0	214	219	162	0	126	0	0	0	15	243	250	32	0	74	36	282	64
9c5600c570f1da01fa2f25c42da34331	0	2879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
34f6a9f2891692941ec6fdb0095c4012	0	0	0	0	0	0	0	0	0	0	0	130	0	264	0	101	0	0	0	13	0	0	0	0	325	0	0	0	0	0	0	256	124	97	0	206	0	0	0	0	1130	0	114	0	62	6	0	0
0700b7f158c822737fdab28f9a1e4b53	0	0	86	0	197	144	0	0	116	112	0	0	0	81	0	0	0	0	83	14	0	0	352	0	235	0	0	0	0	0	0	99	138	0	0	55	320	446	0	130	0	50	0	0	106	53	0	0
a76bceb8556d98d20da8b2e65d2a974d	122	0	20	0	28	72	0	45	23	0	1258	0	127	62	114	137	0	0	0	50	0	0	37	0	63	58	0	0	25	0	97	20	7	0	0	0	54	37	0	37	0	0	0	74	30	16	0	129
e655845f5f4ce1633524c0c9a0b15927	0	0	0	0	0	0	50	21	0	0	55	0	333	77	71	88	0	23	141	4	0	0	146	109	100	0	0	0	0	0	0	0	46	127	0	10	658	61	0	9	0	0	0	104	15	144	9	298
09ad3f07c79e7bbc78206689dc55492d	117	0	28	0	31	15	184	0	154	22	145	0	56	44	24	0	405	86	20	48	6	38	0	0	18	0	431	17	81	138	101	79	71	14	0	0	17	57	0	12	122	41	0	53	0	6	11	5
76de752a177ae96b1151ae697368d049	0	1866	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	92	0	0	0	210	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	45	0	0	81	0	0
a43ac195ae760513c79622ac9ac6ff2d	0	0	29	23	0	0	92	176	106	190	148	122	407	44	70	53	53	93	92	11	0	96	45	0	40	0	55	22	56	0	0	39	16	46	59	34	0	147	0	0	1	53	0	115	69	0	33	30
d08356dd9f482bb52a98464042add8e1	0	0	0	0	0	0	0	0	44	1252	0	0	0	0	0	39	0	0	0	112	0	0	50	116	0	0	0	0	0	0	0	73	214	0	0	0	0	112	0	0	420	0	0	145	80	0	0	0
ce0837f50ab0a7abc73bddc82e8b55e6	0	0	59	24	131	207	0	0	68	0	0	31	0	25	111	0	0	14	155	0	0	35	64	0	59	13	0	0	162	22	0	68	0	31	0	17	866	238	0	13	0	0	95	21	9	69	29	0
78c6ecae885d02288926aea45300a693	0	0	0	0	0	0	2470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27460ebd5ca1194ad683c271dadf51b2	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8f3507ee57026a970e37ec26a53554f	0	0	0	0	0	0	0	0	210	0	0	0	0	18	187	0	0	1758	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
